address_id,address,district,city,postal_code,phone
1,47,MySakila,Drive,Alberta,Lethbridge
2,28,MySQL,Boulevard,QLD,Woodridge
3,23,Workhaven,Lane,Alberta,Lethbridge
4,1411,Lillydale,Drive,QLD,Woodridge
5,1913,Hanoi,Way,Nagasaki,Sasebo
6,1121,Loja,Avenue,California,San
7,692,Joliet,Street,Attika,Athenai
8,1566,Inegl,Manor,Mandalay,Myingyan
9,53,Idfu,Parkway,Nantou,Nantou
10,1795,Santiago,de,Compostela,Way
11,900,Santiago,de,Compostela,Parkway
12,478,Joliet,Way,Hamilton,Hamilton
13,613,Korolev,Drive,Masqat,Masqat
14,1531,Sal,Drive,Esfahan,Esfahan
15,1542,Tarlac,Parkway,Kanagawa,Sagamihara
16,808,Bhopal,Manor,Haryana,Yamuna
17,270,Amroha,Parkway,Osmaniye,Osmaniye
18,770,Bydgoszcz,Avenue,California,Citrus
19,419,Iligan,Lane,Madhya,Pradesh
20,360,Toulouse,Parkway,England,Southend-on-Sea
21,270,Toulon,Boulevard,Kalmykia,Elista
22,320,Brest,Avenue,Kaduna,Kaduna
23,1417,Lancaster,Avenue,Northern,Cape
24,1688,Okara,Way,Nothwest,Border
25,262,A,Corua,(La,Corua)
26,28,Charlotte,Amalie,Street,Rabat-Sal-Zammour-Z
27,1780,Hino,Boulevard,Liepaja,Liepaja
28,96,Tafuna,Way,Crdoba,Crdoba
29,934,San,Felipe,de,Puerto
30,18,Duisburg,Boulevard,Citt,del
31,217,Botshabelo,Place,Southern,Mindanao
32,1425,Shikarpur,Manor,Bihar,Munger
33,786,Aurora,Avenue,Yamaguchi,Shimonoseki
34,1668,Anpolis,Street,Taipei,Lungtan
35,33,Gorontalo,Way,West,Bengali
36,176,Mandaluyong,Place,Uttar,Pradesh
37,127,Purnea,(Purnia),Manor,Piemonte
38,61,Tama,Street,Okayama,Kurashiki
39,391,Callao,Drive,Midi-Pyrnes,Toulouse
40,334,Munger,(Monghyr),Lane,Markazi
41,1440,Fukuyama,Loop,Henan,Nanyang
42,269,Cam,Ranh,Parkway,Chisinau
43,306,Antofagasta,Place,Esprito,Santo
44,671,Graz,Street,Oriental,Nador
45,42,Brindisi,Place,Yerevan,Yerevan
46,1632,Bislig,Avenue,Nonthaburi,Pak
47,1447,Imus,Way,Tahiti,Faaa
48,1998,Halifax,Drive,Lipetsk,Lipetsk
49,1718,Valencia,Street,Antofagasta,Antofagasta
50,46,Pjatigorsk,Lane,Moscow,(City)
51,686,Garland,Manor,Cear,Juazeiro
52,909,Garland,Manor,Tatarstan,Niznekamsk
53,725,Isesaki,Place,Mekka,Jedda
54,115,Hidalgo,Parkway,Khartum,Omdurman
55,1135,Izumisano,Parkway,California,Fontana
56,939,Probolinggo,Loop,Galicia,A
57,17,Kabul,Boulevard,Chiba,Nagareyama
58,1964,Allappuzha,(Alleppey),Street,Yamaguchi
59,1697,Kowloon,and,New,Kowloon
60,1668,Saint,Louis,Place,Tahiti
61,943,Tokat,Street,Vaduz,Vaduz
62,1114,Liepaja,Street,Sarawak,Kuching
63,1213,Ranchi,Parkway,Karnataka,Mysore
64,81,Hodeida,Way,Rajasthan,Jaipur
65,915,Ponce,Place,Basel-Stadt,Basel
66,1717,Guadalajara,Lane,Missouri,Saint
67,1214,Hanoi,Way,Nebraska,Lincoln
68,1966,Amroha,Avenue,Sichuan,Daxian
69,698,Otsu,Street,Cayenne,Cayenne
70,1150,Kimchon,Manor,Skne,ln
71,1586,Guaruj,Place,Hunan,Xiangtan
72,57,Arlington,Manor,Madhya,Pradesh
73,1031,Daugavpils,Parkway,Bchar,Bchar
74,1124,Buenaventura,Drive,Mekka,al-Hawiya
75,492,Cam,Ranh,Street,Eastern
76,89,Allappuzha,(Alleppey),Manor,National
77,1947,Poos,de,Caldas,Boulevard
78,1206,Dos,Quebradas,Place,So
79,1551,Rampur,Lane,Changhwa,Changhwa
80,602,Paarl,Street,Pavlodar,Pavlodar
81,1692,Ede,Loop,So,Paulo
82,936,Salzburg,Lane,Uttar,Pradesh
83,586,Tete,Way,Kanagawa,Kamakura
84,1888,Kabul,Drive,Oyo,&
85,320,Baiyin,Parkway,Mahajanga,Mahajanga
86,927,Baha,Blanca,Parkway,Krim
87,929,Tallahassee,Loop,Gauteng,Springs
88,125,Citt,del,Vaticano,Boulevard
89,1557,Ktahya,Boulevard,England,Bradford
90,870,Ashqelon,Loop,Songkhla,Songkhla
91,1740,Portoviejo,Avenue,Sucre,Sincelejo
92,1942,Ciparay,Parkway,Cheju,Cheju
93,1926,El,Alto,Avenue,Buenos
94,1952,Chatsworth,Drive,Guangdong,Meixian
95,1370,Le,Mans,Avenue,Brunei
96,984,Effon-Alaiye,Avenue,Gois,Goinia
97,832,Nakhon,Sawan,Manor,Inner
98,152,Kitwe,Parkway,Caraga,Bislig
99,1697,Tanauan,Lane,Punjab,Pathankot
100,1308,Arecibo,Way,Georgia,Augusta-Richmond
101,1599,Plock,Drive,Tete,Tete
102,669,Firozabad,Loop,Abu,Dhabi
103,588,Vila,Velha,Manor,Kyongsangbuk
104,1913,Kamakura,Place,Lipetsk,Jelets
105,733,Mandaluyong,Place,Asir,Abha
106,659,Vaduz,Drive,Ha,Darom
107,1177,Jelets,Way,Kwara,&
108,1386,Yangor,Avenue,Provence-Alpes-Cte,Toulon
109,454,Nakhon,Sawan,Boulevard,Funafuti
110,1867,San,Juan,Bautista,Tuxtepec
111,1532,Dzerzinsk,Way,Buenos,Aires
112,1002,Ahmadnagar,Manor,Mxico,Huixquilucan
113,682,Junan,Way,North,West
114,804,Elista,Drive,Hubei,Enshi
115,1378,Alvorada,Avenue,Distrito,Federal
116,793,Cam,Ranh,Avenue,California
117,1079,Tel,Aviv-Jaffa,Boulevard,Sucre
118,442,Rae,Bareli,Place,Nordrhein-Westfalen
119,1107,Nakhon,Sawan,Avenue,Mxico
120,544,Malm,Parkway,Central,Java
121,1967,Sincelejo,Place,Gujarat,Gandhinagar
122,333,Goinia,Way,Texas,Grand
123,1987,Coacalco,de,Berriozbal,Loop
124,241,Mosul,Lane,Risaralda,Dos
125,211,Chiayi,Drive,Uttar,Pradesh
126,1175,Tanauan,Way,Lima,Lima
127,117,Boa,Vista,Way,Uttar
128,848,Tafuna,Manor,Ktahya,Ktahya
129,569,Baicheng,Lane,Gauteng,Boksburg
130,1666,Qomsheh,Drive,So,Paulo
131,801,Hagonoy,Drive,Smolensk,Smolensk
132,1050,Garden,Grove,Avenue,Slaskie
133,1854,Tieli,Street,Shandong,Liaocheng
134,758,Junan,Lane,Gois,guas
135,1752,So,Leopoldo,Parkway,Taka-Karpatia
136,898,Belm,Manor,Free,State
137,261,Saint,Louis,Way,Coahuila
138,765,Southampton,Drive,al-Qalyubiya,Qalyub
139,943,Johannesburg,Avenue,Maharashtra,Pune
140,788,Atinsk,Street,Karnataka,Hubli-Dharwad
141,1749,Daxian,Place,Gelderland,Apeldoorn
142,1587,Sullana,Lane,Inner,Mongolia
143,1029,Dzerzinsk,Manor,Ynlin,Touliu
144,1666,Beni-Mellal,Place,Tennessee,Clarksville
145,928,Jaffna,Loop,Hiroshima,Fukuyama
146,483,Ljubertsy,Parkway,Scotland,Dundee
147,374,Bat,Yam,Boulevard,Kilis
148,1027,Songkhla,Manor,Minsk,Molodetno
149,999,Sanaa,Loop,Gauteng,Soshanguve
150,879,Newcastle,Way,Michigan,Sterling
151,1337,Lincoln,Parkway,Saitama,Urawa
152,1952,Pune,Lane,Saint-Denis,Saint-Denis
153,782,Mosul,Street,Massachusetts,Brockton
154,781,Shimonoseki,Drive,Michoacn,de
155,1560,Jelets,Boulevard,Shandong,Laiwu
156,1963,Moscow,Place,Assam,Nagaon
157,456,Escobar,Way,Jakarta,Raya
158,798,Cianjur,Avenue,Shanxi,Yuncheng
159,185,Novi,Sad,Place,Bern
160,1367,Yantai,Manor,Ondo,&
161,1386,Nakhon,Sawan,Boulevard,Pyongyang-si
162,369,Papeete,Way,North,Carolina
163,1440,Compton,Place,North,Austria
164,1623,Baha,Blanca,Manor,Moskova
165,97,Shimoga,Avenue,Tel,Aviv
166,1740,Le,Mans,Loop,Pays
167,1287,Xiangfan,Boulevard,Gifu,Kakamigahara
168,842,Salzburg,Lane,Adana,Tarsus
169,154,Tallahassee,Loop,Xinxiang,Hami
170,710,San,Felipe,del,Progreso
171,1540,Wroclaw,Drive,Maharashtra,Chandrapur
172,475,Atinsk,Way,Gansu,Jinchang
173,1294,Firozabad,Drive,Jiangxi,Pingxiang
174,1877,Ezhou,Lane,Rajasthan,Udaipur
175,316,Uruapan,Street,Perak,Ipoh
176,29,Pyongyang,Loop,Batman,Batman
177,1010,Klerksdorp,Way,Steiermark,Graz
178,1848,Salala,Boulevard,Miranda,Ocumare
179,431,Xiangtan,Avenue,Kerala,Allappuzha
180,757,Rustenburg,Avenue,Skikda,Skikda
181,146,Johannesburg,Way,Tamaulipas,Matamoros
182,1891,Rizhao,Boulevard,So,Paulo
183,1089,Iwatsuki,Avenue,Kirov,Kirovo-Tepetsk
184,1410,Benin,City,Parkway,Risaralda
185,682,Garden,Grove,Place,Tennessee
186,533,al-Ayn,Boulevard,California,Compton
187,1839,Szkesfehrvr,Parkway,Gois,Luzinia
188,741,Ambattur,Manor,Noord-Brabant,s-Hertogenbosch
189,927,Barcelona,Street,Chaharmahal,va
190,435,0,Way,West,Bengali
191,140,Chiayi,Parkway,Sumy,Sumy
192,1166,Changhwa,Street,Caraga,Bayugan
193,891,Novi,Sad,Manor,Ontario
194,605,Rio,Claro,Parkway,Tabora
195,1077,San,Felipe,de,Puerto
196,9,San,Miguel,de,Tucumn
197,447,Surakarta,Loop,Nyanza,Kisumu
198,345,Oshawa,Boulevard,Tokyo-to,Hino
199,1792,Valle,de,la,Pascua
200,1074,Binzhou,Manor,Baden-Wrttemberg,Mannheim
201,817,Bradford,Loop,Jiangsu,Changzhou
202,955,Bamenda,Way,Ondo,&
203,1149,A,Corua,(La,Corua)
204,387,Mwene-Ditu,Drive,Ahal,Ashgabat
205,68,Molodetno,Manor,Nordrhein-Westfalen,Witten
206,642,Nador,Drive,Maharashtra,Bhusawal
207,1688,Nador,Lane,Sulawesi,Utara
208,1215,Pyongyang,Parkway,Usak,Usak
209,1679,Antofagasta,Street,Alto,Paran
210,1304,s-Hertogenbosch,Way,Santa,Catarina
211,850,Salala,Loop,Kitaa,Nuuk
212,624,Oshawa,Boulevard,West,Bengali
213,43,Dadu,Avenue,Rajasthan,Bhilwara
214,751,Lima,Loop,Aden,Aden
215,1333,Haldia,Street,Jilin,Fuyu
216,660,Jedda,Boulevard,Washington,Bellevue
217,1001,Miyakonojo,Lane,Taizz,Taizz
218,226,Brest,Manor,California,Sunnyvale
219,1229,Valencia,Parkway,Haskovo,Stara
220,1201,Qomsheh,Manor,Gois,Aparecida
221,866,Shivapuri,Manor,Uttar,Pradesh
222,1168,Najafabad,Parkway,Kabol,Kabul
223,1244,Allappuzha,(Alleppey),Place,Buenos
224,1842,Luzinia,Boulevard,Zanzibar,West
225,1926,Gingoog,Street,Sisilia,Syrakusa
226,810,Palghat,(Palakkad),Boulevard,Jaroslavl
227,1820,Maring,Parkway,Punjab,Mandi
228,60,Poos,de,Caldas,Street
229,1014,Loja,Manor,Tamil,Nadu
230,201,Effon-Alaiye,Way,Asuncin,Asuncin
231,430,Alessandria,Loop,Saarland,Saarbrcken
232,754,Valencia,Place,Phnom,Penh
233,356,Olomouc,Manor,Gois,Anpolis
234,1256,Bislig,Boulevard,Botosani,Botosani
235,954,Kimchon,Place,West,Bengali
236,885,Yingkou,Manor,Kaduna,Zaria
237,1736,Cavite,Place,Qina,Idfu
238,346,Skikda,Parkway,Hawalli,Jalib
239,98,Stara,Zagora,Boulevard,Valle
240,1479,Rustenburg,Boulevard,Southern,Tagalog
241,647,A,Corua,(La,Corua)
242,1964,Gijn,Manor,Karnataka,Shimoga
243,47,Syktyvkar,Lane,West,Java
244,1148,Saarbrcken,Parkway,Fukushima,Iwaki
245,1103,Bilbays,Parkway,Hubei,Xiangfan
246,1246,Boksburg,Parkway,Hebei,Qinhuangdao
247,1483,Pathankot,Street,Tucumn,San
248,582,Papeete,Loop,Central,Visayas
249,300,Junan,Street,Kyonggi,Uijongbu
250,829,Grand,Prairie,Way,Paran
251,1473,Changhwa,Parkway,Mxico,Coacalco
252,1309,Weifang,Street,Florida,Tallahassee
253,1760,Oshawa,Manor,Tianjin,Tianjin
254,786,Stara,Zagora,Way,Oyo
255,1966,Tonghae,Street,Anhalt,Sachsen
256,1497,Yuzhou,Drive,England,London
258,752,Ondo,Loop,Miyazaki,Miyakonojo
259,1338,Zalantun,Lane,Minas,Gerais
260,127,Iwakuni,Boulevard,Central,Luzon
261,51,Laredo,Avenue,Sagaing,Monywa
262,771,Yaound,Manor,Sofala,Beira
263,532,Toulon,Street,Santiago,Santiago
264,1027,Banjul,Place,West,Bengali
265,1158,Mandi,Bahauddin,Parkway,Shanxi
266,862,Xintai,Lane,Cagayan,Valley
267,816,Cayenne,Parkway,Manab,Portoviejo
268,1831,Nam,Dinh,Loop,National
269,446,Kirovo-Tepetsk,Lane,Osaka,Higashiosaka
270,682,Halisahar,Place,Severn,Morava
271,1587,Loja,Manor,Salzburg,Salzburg
272,1762,Paarl,Parkway,Hunan,Lengshuijiang
273,1519,Ilorin,Place,Kerala,Palghat
274,920,Kumbakonam,Loop,California,Salinas
275,906,Goinia,Way,Wielkopolskie,Kalisz
276,1675,Xiangfan,Manor,Tamil,Nadu
277,85,San,Felipe,de,Puerto
278,144,South,Hill,Loop,Guanajuato
279,1884,Shikarpur,Avenue,Haryana,Karnal
280,1980,Kamjanets-Podilskyi,Street,Illinois,Peoria
281,1944,Bamenda,Way,Michigan,Warren
282,556,Baybay,Manor,Oyo,&
283,457,Tongliao,Loop,Bursa,Inegl
284,600,Bradford,Street,East,Azerbaidzan
285,1006,Santa,Brbara,dOeste,Manor
286,1308,Sumy,Loop,Fujian,Fuzhou
287,1405,Chisinau,Place,Ponce,Ponce
288,226,Halifax,Street,Xinxiang,Korla
289,1279,Udine,Parkway,Edo,&
290,1336,Benin,City,Drive,Shiga
291,1155,Liaocheng,Place,Oyo,&
292,1993,Tabuk,Lane,Tamil,Nadu
293,86,Higashiosaka,Lane,Guanajuato,Valle
294,1912,Allende,Manor,Kowloon,and
295,544,Tarsus,Boulevard,Gurico,Valle
296,1936,Cuman,Avenue,Virginia,Roanoke
297,1192,Tongliao,Street,Sharja,Sharja
298,44,Najafabad,Way,Baskimaa,Donostia-San
299,32,Pudukkottai,Lane,Ohio,Dayton
300,661,Chisinau,Lane,Pietari,Kolpino
301,951,Stara,Zagora,Manor,Punjab
302,922,Vila,Velha,Loop,Maharashtra
303,898,Jining,Lane,Pohjois-Pohjanmaa,Oulu
304,1635,Kuwana,Boulevard,Hiroshima,Hiroshima
